FECHA,IDC,ACTIVIDAD ECONOMICA,EDAD,SALARIO,FFNN,MONTO_ACUMULADO_DOL_ACH,FRECUENCIA_ACH,MONTO_USD_DOL_PCC,CANTIDAD_PCC,NRO_ORDENANTES_DIFERENTES
202006,00122924LP,SERVICIOS INMOBILIARIOS REALIZADOS POR CUENTA PROPIA CON BIENES PROPIOS O ARRENDADOS,62,800.00,0,2915.451894,3,0.000000,0,1
202006,00123919LP,JUBILADOS O RENTISTAS,68,500.00,0,1330.393582,8,0.000000,0,8
202006,00136222LP,OTROS SERVICIOS,68,1000.00,0,1554.763846,5,0.000000,0,5
202006,00137066LP,OTROS SERVICIOS,68,365.00,0,1486.880464,4,0.000000,0,3
202006,00137267LP,OTROS SERVICIOS,66,12844.00,0,17416.443146,3,0.000000,0,2
202006,00164696LP,ELABORACION DE VINOS BEBIDAS FERMENTADAS PERO NO DESTILADAS,76,1968.00,1,3644.314868,1,0.000000,0,1
202006,00166584LP,OTROS SERVICIOS,64,2000.00,1,4266.180755,7,0.000000,0,6
202006,00169428LP,OTROS SERVICIOS,80,3793.00,1,5172.543708,42,0.000000,0,27
202006,00172603LP,OTROS SERVICIOS,64,925.00,0,3071.081629,8,0.000000,0,7
202006,00178361LP,JUBILADOS O RENTISTAS,60,450.00,0,621.282798,1,0.000000,0,1
202006,00188108LP,JUBILADOS O RENTISTAS,90,300.00,0,572.886297,1,0.000000,0,1
202006,00204164LP,JUBILADOS O RENTISTAS,71,500.00,0,1058.309035,4,0.000000,0,3
202006,00212535LP,OTROS SERVICIOS,70,3000.00,1,3527.696785,17,0.000000,0,16
202006,00212536LP,OTROS SERVICIOS,72,582.00,0,685.131194,5,0.000000,0,2
202006,00226404LP,JUBILADOS O RENTISTAS,79,500.00,0,2915.451895,1,0.000000,0,1
202006,00244914LP,JUBILADOS O RENTISTAS,77,457.00,1,2545.348386,19,0.000000,0,15
202006,00246005LP,JUBILADOS O RENTISTAS,65,1000.00,1,2722.448975,8,0.000000,0,7
